date,partner,partner_type,unique_clicks,new_registrations,first_time_depositing,cpa_triggered,cpa_earnings_eur,rev_share_earnings_eur,amount_deposited_eur,net_revenue_eur,country
01/06/2023,Grand Royale Casino,casino,1500,300,200,80,1600,1200,10000,5500,DE
01/06/2023,LuckyBet Bookmakers,bookmaker,1800,250,180,70,1400,800,8000,4500,FR
01/06/2023,Golden Spin Casino,casino,1200,180,120,50,1000,900,7500,4200,IT
01/06/2023,BetStar Bookmakers,bookmaker,2100,350,220,90,1800,1100,9500,5200,ES
02/06/2023,Royal Flush Casino,casino,1700,280,190,75,1500,1000,8800,4800,GB
02/06/2023,WagerWorld Bookmakers,bookmaker,1900,320,210,85,1700,950,8500,4700,DE
02/06/2023,DiamondEdge Casino,casino,1400,240,160,65,1300,1100,7200,4100,FR
02/06/2023,MaxWin Bookmakers,bookmaker,2200,380,240,100,2000,1200,10500,5800,IT
03/06/2023,JackpotJoy Casino,casino,1600,260,170,70,1400,1300,7600,4300,ES
03/06/2023,BetLink Bookmakers,bookmaker,2000,340,200,80,1600,900,9200,5000,DE
03/06/2023,CasinoElite,casino,1300,220,150,60,1200,950,6800,3900,GB
03/06/2023,BookieMaster,bookmaker,2400,410,260,110,2200,1300,11500,6200,FR
04/06/2023,SilverStar Casino,casino,1100,170,110,45,900,750,7100,4000,IT
04/06/2023,SureBet Bookmakers,bookmaker,2500,390,240,100,1900,1000,9800,5300,ES
04/06/2023,DiamondFortune Casino,casino,1800,270,180,70,1400,1100,7800,4500,DE
04/06/2023,RollingDice Bookmakers,bookmaker,1900,320,210,85,1700,900,8600,4900,GB
05/06/2023,MegaWin Casino,casino,1400,240,160,65,1300,1000,7200,4200,FR
05/06/2023,BetEasy Bookmakers,bookmaker,2100,360,230,95,2000,1150,9400,5100,IT
05/06/2023,RoyalSpin Casino,casino,1600,270,190,75,1500,1200,8000,4600,ES
05/06/2023,FastBet Bookmakers,bookmaker,2300,380,230,95,1900,1000,9200,5200,DE
06/06/2023,FortuneWheel Casino,casino,1200,190,130,55,1100,900,7100,4000,GB
06/06/2023,BetPro Bookmakers,bookmaker,2600,420,260,110,2200,1300,10500,5800,FR
06/06/2023,LuxeCasino,casino,1500,260,170,70,1400,1200,7500,4300,IT
06/06/2023,BetMasters Bookmakers,bookmaker,2200,360,220,90,1800,1100,9300,5100,ES
31/08/2023,JackpotJoy Casino,casino,1600,260,170,70,1400,1300,7600,4300,GB
31/08/2023,BetLink Bookmakers,bookmaker,2000,340,200,80,1600,900,9200,5000,FR
01/09/2023,LuckyCharm Casino,casino,1400,220,150,65,1300,950,7300,4200,IT
01/09/2023,WinWin Bookmakers,bookmaker,2500,390,240,100,1900,1100,9600,5300,ES
01/09/2023,EagleEye Casino,casino,1100,160,100,40,800,700,6800,3800,DE
01/09/2023,UltraBet Bookmakers,bookmaker,2600,430,270,115,2300,1300,11000,6100,GB
30/09/2023,GoldenGate Casino,casino,1700,280,190,75,1500,1100,8200,4700,DE
30/09/2023,AceBet Bookmakers,bookmaker,2000,330,210,85,1700,1000,8800,4800,FR
30/09/2023,LuckyCharm Casino,casino,1400,230,160,65,1300,1100,7800,4500,IT
30/09/2023,WinWin Bookmakers,bookmaker,2500,400,250,105,2100,1200,10200,5600,ES
30/09/2023,EagleEye Casino,casino,1100,160,100,40,800,700,6800,3800,DE
30/09/2023,UltraBet Bookmakers,bookmaker,2600,430,270,115,2300,1300,10500,5700,GB
01/07/2023,CasinoMagic,casino,1600,240,150,60,1300,1000,7000,4100,DE
01/07/2023,PlaySmart Bookmakers,bookmaker,2300,360,220,90,1700,1100,8800,4900,FR
01/07/2023,RedDragon Casino,casino,1400,200,130,55,1200,900,7200,4000,IT
01/07/2023,OddsMaker Bookmakers,bookmaker,2200,330,190,75,1500,1000,9500,5200,ES
02/07/2023,CrystalSpin Casino,casino,1200,160,100,40,900,750,6500,3700,DE
02/07/2023,BetSmart Bookmakers,bookmaker,2500,380,240,100,1800,1100,9100,5000,FR
02/07/2023,StarGaze Casino,casino,1700,250,170,70,1400,1200,7500,4300,IT
02/07/2023,Pinnacle Bookmakers,bookmaker,2000,320,210,85,1600,900,9200,5000,ES
03/07/2023,GoldenPalm Casino,casino,1300,180,120,50,1000,900,6800,3900,DE
03/07/2023,EliteBet Bookmakers,bookmaker,2100,350,220,90,1600,1000,9400,5100,FR
03/07/2023,SilverBreeze Casino,casino,1500,230,160,65,1200,1100,7200,4100,IT
03/07/2023,WiseChoice Bookmakers,bookmaker,2300,370,230,95,1900,1200,10200,5600,ES
04/07/2023,JackpotCity Casino,casino,1600,220,150,60,1200,950,7600,4300,DE
